Sensor,Date,Water content
A1,12/5/15,0.004
A1,10/23/16,0.213
A1,11/19/17,0.196
A1,11/22/18,0.18
A1,12/13/19,0.221
A1,12/16/20,0.187
A1,10/21/21,0.22
A2,12/12/15,0.07
A2,10/13/16,0.184
A2,1/17/18,0.246
A2,12/16/18,0.168
A2,1/18/20,0.181
A2,1/12/21,0.144
A2,10/23/21,0.177
A3,12/13/15,0.001
A3,10/31/16,0.172
A3,1/21/18,0.099
A3,12/18/18,0.148
A3,1/16/20,0.16
A3,1/12/21,0.123
A3,10/23/21,0.242
A4,12/9/15,0.014
A4,10/29/16,0.176
A4,11/28/17,0.228
A4,11/28/18,0.233
A4,12/23/19,0.371
A4,1/6/21,0.402
A4,10/23/21,0.4
A5,12/21/15,0.014
A5,11/23/16,0.171
A5,1/22/18,0.26
A5,1/8/19,0.282
A5,1/25/20,0.445
A5,12/15/21,0.45
A6,12/20/15,0.009
A6,10/31/16,0.472
A6,1/21/17,0.525
A6,1/11/19,0.524
A6,1/26/20,0.607
A6,2/15/21,0.539
A6,12/15/21,0.556
A7,12/20/15,0.016
A7,11/21/16,0.464
A7,1/22/18,0.66
A7,1/11/19,0.537
A7,1/27/20,0.591
A7,2/18/21,0.523